IssuedYear,IssuedMonth,LoanAmt,Term,IntRate,Grade,SubGrade,EmpTitle,EmpLength,HomeStatus,AnnualInc,VerificationStatus,LoanStatus,Purpose,State,DTI,NoOfInqs,AppType,CreditHistory,FICO,DefaultStatus
2008,Dec,1200.0,36,8.0,A,A3,Fiserv,1,OTHER,40000.0,Not Verified,Fully Paid,other,WI,7.26,1,INDIVIDUAL,5,737,Good-Loan
2008,Dec,8600.0,36,11.26,B,B2,Elmhurst Community School Dist. #205,10,MORTGAGE,50000.0,Not Verified,Charged Off,other,IL,2.88,3,INDIVIDUAL,11,712,Defaulted-Loan
2008,Dec,15000.0,36,12.84,C,C2,PCAOB,6,MORTGAGE,182500.0,Verified,Fully Paid,small_business,CA,20.69,3,INDIVIDUAL,8,697,Good-Loan
2008,Dec,8000.0,36,12.21,B,B5,Ruthrauff-Sauer LLC,8,OWN,45000.0,Not Verified,Fully Paid,debt_consolidation,PA,21.87,2,INDIVIDUAL,8,697,Good-Loan
2008,Dec,3000.0,36,9.32,A,A4,St. John Health,1,RENT,24856.0,Not Verified,Fully Paid,other,MI,18.01,2,INDIVIDUAL,5,722,Good-Loan
2008,Dec,2000.0,36,8.0,A,A3,LEwis Crane,1,RENT,50000.0,Not Verified,Charged Off,debt_consolidation,NV,10.51,1,INDIVIDUAL,6,737,Defaulted-Loan
2008,Dec,14000.0,36,12.84,C,C2,Brookline Bank,1,RENT,66996.0,Not Verified,Fully Paid,credit_card,MA,15.53,0,INDIVIDUAL,10,697,Good-Loan
2008,Dec,18800.0,36,12.21,B,B5,Auburn University/Coosa County Extension Office,1,MORTGAGE,38000.0,Not Verified,Fully Paid,credit_card,AL,13.07,2,INDIVIDUAL,13,712,Good-Loan
2008,Dec,5000.0,36,18.21,F,F4,Godwin Landscape,1,MORTGAGE,45000.0,Verified,Charged Off,debt_consolidation,AL,11.39,3,INDIVIDUAL,14,662,Defaulted-Loan
2008,Dec,15000.0,36,13.16,C,C3,AarhusKarlshamn,4,RENT,58000.0,Verified,Fully Paid,educational,NJ,7.28,0,INDIVIDUAL,6,687,Good-Loan
2008,Dec,1200.0,36,8.0,A,A3,LSI Logic,5,RENT,40000.0,Not Verified,Fully Paid,major_purchase,KS,18.78,2,INDIVIDUAL,10,732,Good-Loan
