IssuedYear,IssuedMonth,LoanAmt,EmpLength,Purpose,State,DTI,FICO
2009,Jan,9000.0,3,I.T. Consulting Operating Capital,MA,0.51,517
2009,Jan,12000.0,1, ,RI,10.22,646
2009,Jan,10000.0,10,personal,HI,-1.0,111
2009,Jan,15000.0,10,Pay Off credit Cards/Better credit score,FL,7.07,556
2009,Jan,5000.0,9,Wedding Coming up,PA,12.26,546
2009,Jan,1500.0,1, ,PA,0.0,719
2009,Jan,12000.0,10, ,PA,47.24,757
2009,Jan,11000.0,8,"""Bridge"" loan to regain flexibility",CA,30.48,677
2009,Jan,7000.0,1,Eduacation Funding,NY,1.52,637
2009,Jan,10000.0,1,Student Loan,FL,0.0,111
2009,Jan,5000.0,1,1 debt,OH,225.0,569
2009,Jan,15000.0,2,Business Loan,AZ,20.9,716
2009,Jan,10000.0,2,Debt Consolidation,TX,16.5,592
2009,Jan,7000.0,10,bailout,CA,-1.0,111
2009,Jan,12000.0,3, ,NJ,15.35,628
2009,Jan,5000.0,9,2009 New Years resolution,FL,-1.0,111
2009,Jan,2000.0,2,GETTING CAUGHT UP ON BILLS HUSBAND LEFT ,PA,-1.0,413
2009,Jan,1500.0,1,Steinmeyer,NJ,0.0,111
2009,Jan,6000.0,4,pay off credit card ,IL,0.03,777
2009,Jan,5000.0,2,Albert,UT,-1.0,111
2009,Jan,10000.0,2,Please....,OK,256.91,471
2009,Jan,3000.0,1,Fixing our plumbing,MI,14.25,620
2009,Jan,5000.0,1,consolidate debt,NV,9.96,567
2009,Jan,7000.0,5,I need a truck to get to places ,WI,-1.0,111
2009,Jan,1500.0,2,Personal Loan,MT,7.74,633
2009,Jan,15000.0,7,Consolidate Debt,NY,46.8,490
2009,Jan,10000.0,8,personal loan,AL,0.0,111
2009,Jan,12000.0,10,Helping a Cal grad,CA,14.44,642
2009,Jan,1500.0,3, ,CA,5.88,716
2009,Jan,15000.0,1,student loan,CA,-1.0,111
2009,Jan,20000.0,3, ,FL,-1.0,640
2009,Jan,15000.0,5,On-Farm Butcher Shop Pastured Pork,VT,26.94,706
2009,Jan,20000.0,9, ,CA,25.34,689
2009,Jan,5000.0,1,Business start up,PA,0.0,533
2009,Jan,6000.0,9,Consolidate,WA,-1.0,454
2009,Jan,15000.0,1,Need capital to update POS system,FL,4.73,734
2009,Jan,2000.0,1,lower apr,NJ,15.7,677
2009,Jan,15000.0,1, ,OH,22.02,636
2009,Jan,5000.0,10,PERSONAL LOAN,CA,19.91,570
2009,Jan,2000.0,8,help me break free,OH,19.34,497
2009,Jan,8000.0,2,Better loan rate,TX,3.6,581
2009,Jan,7000.0,2,Loan for Masters Degree in May 09,MO,-1.0,111
2009,Jan,14500.0,1,Paying down credit cards,MN,39.52,485
2009,Jan,5000.0,2,Credit Card,FL,-1.0,111
2009,Jan,7500.0,4,Credit card refinance & Tool purchase,MN,4.2,661
2009,Jan,3500.0,1,Car Repair,CA,25.14,111
2009,Jan,3500.0,2,Education,FL,8.3,477
2009,Jan,15000.0,1,Wedding,NY,-1.0,111
2009,Jan,11000.0,2,Consolidation Loan,TX,7.63,514
2009,Jan,15000.0,1,personal,CA,-1.0,111
2009,Jan,3000.0,1,New laptop for school,AZ,0.94,662
2009,Jan,3000.0,1, ,CA,4.13,688
2009,Jan,10000.0,4,re education while continuing to work,GA,7.8,631
2009,Jan,15000.0,1,save my home and pay off credit cards,FL,46.52,542
2009,Jan,3000.0,3,getcash,GA,29.68,625
2009,Jan,1000.0,1,Invention Project,GA,0.0,111
2009,Jan,1200.0,3,My Loan,NJ,12.45,652
2009,Jan,7500.0,3,I want to reconsolidate to one source,VA,75.02,648
2009,Jan,7000.0,6, ,VA,11.03,655
2009,Jan,10000.0,1, ,MO,-1.0,111
2009,Jan,7000.0,10,Surgery Loan,WA,-1.0,111
2009,Jan,6800.0,2,Time for a Bath. . .,GA,12.05,747
2009,Jan,10000.0,1,To consolidate high interest loans,SD,29.7,655
2009,Jan,7000.0,5,Hard times,WA,3.52,525
2009,Jan,4000.0,2,Personal,CA,7.11,627
2009,Jan,20000.0,5, ,WI,34.28,732
2009,Jan,2500.0,1,BEARDOT,MI,23.91,563
2009,Jan,6500.0,3,Medical,GA,6.87,746
2009,Jan,6000.0,1,Looking to cut my debt. ,VA,44.95,525
2009,Jan,5500.0,1,Debt Consolidation Loan,KY,-1.0,111
2009,Jan,10000.0,1,College Graduate Looking for Fresh Start,CA,-1.0,494
2009,Jan,9800.0,7,Pay off high interest credit card loans,CT,31.38,712
2009,Jan,2500.0,4,Replacement snowmobile,OR,4.94,698
2009,Jan,6000.0,1,Citifinancial refinance,NJ,24.81,677
2009,Jan,13000.0,1,Interest Rate Reduction,MN,45.26,681
2009,Jan,1500.0,8,personal,CA,16.64,699
2009,Jan,15000.0,2,Equipment purchases & repairs,CA,2.02,547
2009,Jan,15000.0,5, ,WI,99999.0,111
2009,Jan,3000.0,1, ,IL,99999.0,111
2009,Jan,15000.0,4,tuition,NJ,-1.0,111
2009,Jan,7500.0,7, ,PA,26.86,706
2009,Jan,10000.0,2,Personal Loan,VT,5.0,667
2009,Jan,1000.0,3,"Bills, Bills, Bills",MD,-1.0,111
2009,Jan,15000.0,10, ,CT,-1.0,111
2009,Jan,15000.0,2,Debt Consolidation - Breaking the Cycle!,MD,25.27,613
2009,Jan,20000.0,3, ,CA,39.05,687
2009,Jan,5000.0,6,Consolidating and Taxes,CA,7.24,688
2009,Jan,15000.0,4,tuition,NJ,6.33,644
2009,Jan,9000.0,10,Alzheimer's Assistance,FL,9.25,668
2009,Jan,17000.0,3, ,VA,99999.0,111
2009,Jan,15000.0,3,Business Loan,SC,18.7,692
2009,Jan,3000.0,2,fourwheeler,WV,2.03,698
2009,Jan,20000.0,1, ,NY,-1.0,111
2009,Jan,7000.0,2,Three month jump ,FL,40.56,645
2009,Jan,10000.0,4,Going to school,GA,101.2,533
2009,Jan,8600.0,2,Senior Year at Marquette,WI,256.32,665
2009,Jan,3500.0,2, ,AZ,99999.0,111
2009,Jan,3000.0,1,Eliminating DEBT ,MN,-1.0,111
2009,Jan,5000.0,10,Consolidate Credit Card Debt,CA,0.0,111
2009,Jan,10000.0,2,personal,TX,0.75,560
2009,Jan,15000.0,1,Debt consolidation - Credit Card & 2 LOC,NY,6.48,657
2009,Jan,15000.0,1,Manage Debt,NY,6.28,611
2009,Jan,2000.0,3,Credit Card Captured Me,OH,24.35,521
2009,Jan,13000.0,6,Moving to KY,NY,30.94,640
2009,Jan,20000.0,3, ,MI,24.81,637
2009,Jan,15000.0,1,need to lower monthly payments,KY,34.78,573
2009,Jan,5000.0,1,Rent and Bill Consolidation,WA,-1.0,111
2009,Jan,5000.0,10,Snoqualmie Loan Request,WA,36.28,671
2009,Jan,5000.0,2, ,MN,2.83,649
2009,Jan,5500.0,10,For Client's purchases,CA,-1.0,111
2009,Jan,10000.0,6,Short term loan,WA,0.17,449
2009,Jan,5750.0,2, ,LA,17.08,663
2009,Jan,12000.0,10,Exectuive,CA,21.96,738
2009,Jan,3000.0,1,business,TX,-1.0,111
2009,Jan,5000.0,1, ,PA,23.88,646
2009,Jan,3000.0,1,Education,NY,21.4,696
2009,Jan,10000.0,10, ,WA,99999.0,111
2009,Jan,1500.0,5,To get out of 'Payday loans' trap,CA,1.09,610
2009,Jan,15000.0,10,Debt Consolidation,WA,7.88,700
2009,Jan,4000.0,1,college student in need,PA,0.0,111
2009,Jan,2000.0,2,personal,CA,-1.0,111
2009,Jan,21000.0,1, ,NY,99999.0,111
2009,Jan,1500.0,7,Vacation,TX,43.85,587
2009,Jan,15000.0,3,loan,WI,53.97,651
2009,Jan,15000.0,5,Debt Consolidation,CA,12.04,607
2009,Jan,10000.0,10, ,VA,34.39,757
2009,Jan,6000.0,4, ,CA,16.98,615
2009,Jan,2600.0,1,Bond Loan,IL,-1.0,111
2009,Jan,5000.0,5,Vacation,GA,17.51,649
2009,Jan,3000.0,1,Tuition,HI,-1.0,111
2009,Jan,7000.0,3,Debt consolodation due to medical debt,UT,18.86,662
2009,Jan,8000.0,2,Paying off high interest debt,FL,10.69,614
2009,Jan,5000.0,5,Engine Repair,AR,12.35,478
2009,Jan,5400.0,10,Refinance debt,GA,41.49,640
2009,Jan,8000.0,4,installment loan,WA,25.65,720
2009,Jan,2000.0,10,Short term loan repay/borrow from 401K,DE,12.47,404
2009,Jan,4000.0,10,Need start up cash for internet business,PA,-1.0,111
2009,Jan,5000.0,4,Tanning Salon Business,IL,49.51,584
2009,Jan,15000.0,1,Personal Loan,NH,45.41,667
2009,Jan,1000.0,1,Trying to eliminate all debit for 2009,CA,28.46,565
2009,Jan,1000.0,1,Doing online money making,NY,-1.0,111
2009,Jan,5000.0,1,Car Repair,AZ,0.64,504
2009,Jan,15000.0,5,working capital,NY,-1.0,111
2009,Jan,15000.0,1, ,OK,0.48,734
2009,Jan,5500.0,1,End credit card debt,FL,4.73,666
2009,Jan,15000.0,10,Auto Repair shop 15 years exp,FL,33.34,719
2009,Jan,15000.0,4, ,KY,50.03,702
2009,Jan,8000.0,8,Consolidation loan,TX,147.29,652
2009,Jan,13000.0,2,No More Credit Card Debt in 2009,FL,35.14,693
2009,Jan,16000.0,3,READ ME! Please help me pay off my debt!,OR,17.4,672
2009,Jan,15000.0,2,personal,LA,35.88,681
2009,Jan,5000.0,5,need to get caught!!,OK,0.0,474
2009,Jan,6000.0,1,Down payment for Home,MT,12.9,529
2009,Jan,15000.0,3,Loan Consolidation w/Budget for New Year,AZ,14.44,694
2009,Jan,1000.0,1,College Student Credit Card payoff,CT,15.6,629
2009,Jan,13000.0,10,personal loan,IL,12.55,608
2009,Jan,5000.0,1,Back on My Feet,MI,0.0,410
2009,Jan,7500.0,10,debt conso,CA,26.61,618
2009,Jan,15000.0,9,personal,CA,6.61,757
2009,Jan,2500.0,1,Personal,SC,29.4,729
2009,Jan,7000.0,1,Paying Off Debt,AL,6.27,592
2009,Jan,5000.0,9,personal loan,WI,19.17,583
2009,Jan,5000.0,1,Clear Lake Oaks,CA,1.2,681
2009,Jan,6500.0,1,starting dj service,WI,17.55,432
2009,Jan,5000.0,8,"Refinance Recently ""Rate Hiked"" WaMU",NV,5.52,625
2009,Jan,8000.0,1,consolidate ,FL,4.86,111
2009,Jan,7500.0,1,Need to cover move,NJ,1.75,492
2009,Jan,9000.0,10,Loan for home renovation project,NY,1.54,803
2009,Jan,15000.0,4,Bridge Loan,CO,10.25,542
2009,Jan,5000.0,8,Looking to ReFI recently Rate-Hiked CC,CA,21.36,700
2009,Jan,5000.0,1,I need to live,NY,-1.0,111
2009,Jan,5000.0,10,Going back to School,SC,1.32,585
2009,Jan,2000.0,4,Erase My Debt,DC,2.27,714
2009,Jan,10000.0,1,College graduate starting a business,MI,27.98,605
2009,Jan,20000.0,1, ,MS,99999.0,111
2009,Jan,12000.0,9,Pay off credit cards,CA,12.45,727
2009,Jan,4000.0,2, ,CA,11.53,646
2009,Jan,15000.0,1,home downpayment and moving expenses,TX,13.15,686
2009,Jan,2500.0,2,Pay bills,VA,17.42,111
2009,Jan,3850.0,1,Want equipment for snow plowing season,PA,11.09,666
2009,Jan,15000.0,10,credit cards,TX,29.68,674
2009,Jan,15000.0,1,Start up and ongoing business costs,NV,-1.0,111
2009,Jan,15000.0,6,Goodbye IRS-Hello profits!,WA,3.89,629
2009,Jan,12000.0,3,debt consolidation/restructuring ,PA,15.26,660
2009,Jan,3000.0,1,living expenses for student/single mothe,FL,0.0,489
2009,Jan,15000.0,1,Consolidation loan,MD,23.92,652
2009,Jan,2000.0,1,Poor new teacher,VA,29.78,401
2009,Jan,5000.0,1,Tuition,MA,5.85,514
2009,Jan,15000.0,5,Debt Consolidation,CA,28.2,526
2009,Jan,5000.0,4,pay off debts,NY,13.0,676
2009,Jan,15000.0,3, ,AZ,41.28,687
2009,Jan,1700.0,1,Education Loan,TX,22.47,524
2009,Jan,3000.0,9,loan,CA,18.06,676
2009,Jan,15000.0,1,RENTAL PROPERTY's,TX,4.28,699
2009,Jan,8000.0,1,Fresh Start for 2009,TX,17.27,596
2009,Jan,2000.0,1,Sudden separation-lack of finances,CA,10.28,557
2009,Jan,3000.0,1,High interest debt weighing me down,AZ,13.98,582
2009,Jan,2500.0,1,trying to make it happen,PA,-1.0,111
2009,Jan,5000.0,1,New Baby Preparations,FL,35.95,714
2009,Jan,10000.0,1,personal loan,KS,24.75,524
2009,Jan,14050.0,2,Refinancing Car Loan,RI,11.24,593
2009,Jan,2500.0,2,Want to pay credit cards off at once ,CA,4.87,601
2009,Jan,5000.0,10,Save a life,CA,-1.0,111
2009,Jan,15000.0,5,n/a,MO,12.92,511
2009,Jan,11000.0,5,personal,NY,12.55,689
2009,Jan,25000.0,1,Shorten my debt,WA,36.62,647
2009,Jan,10000.0,5,n/a,MO,2.31,621
2009,Jan,5000.0,5,Rumpus Room School,OR,15.3,574
2009,Jan,15000.0,6, ,CA,46.36,702
2009,Jan,3000.0,1,car repair loan,CA,0.88,534
2009,Jan,15000.0,10,Land Purchase,PA,40.28,721
2009,Jan,15000.0,1,pay off bills and other stuff,FL,-1.0,111
2009,Jan,12500.0,2,Car Purchase,TX,0.0,111
2009,Jan,8000.0,10,to pay my bills,MA,4.84,587
2009,Jan,15000.0,2,Trying to get a loan for SUV,AL,15.24,436
2009,Jan,15000.0,2,Help me get an SUV please,AL,34.96,450
2009,Jan,10000.0,10,help pay of debt,WA,13.41,665
2009,Jan,15000.0,4,Consolidate Debt,SC,-1.0,111
2009,Jan,5000.0,6,Consolidation,MA,34.72,508
2009,Jan,10000.0,2,Credit Card,FL,30.58,637
2009,Jan,15000.0,2,debt consolidation,OH,11.55,677
2009,Jan,7500.0,1, ,CA,99999.0,111
2009,Jan,15000.0,2,REFINANCING 2002 MER GRAND GS ,NV,12.73,646
2009,Jan,7000.0,1, ,AL,20.46,654
2009,Jan,2000.0,3,Student Loan,NJ,0.0,579
2009,Jan,1000.0,2,Electric wheelchair Purchase,CA,4.9,481
2009,Jan,6000.0,10,Daily work car purchase,MD,0.0,691
2009,Jan,6000.0,1,Please help Young Professional With Debt,MD,6.72,627
2009,Jan,8000.0,1,getting things combined / taken care of,MN,-1.0,111
2009,Jan,7500.0,2,Consolidate CC & student loan,FL,17.25,592
2009,Jan,10000.0,1, ,PA,18.8,680
2009,Jan,7500.0,1,moving back to alaska from california,CA,39.0,513
2009,Jan,15000.0,10,BILL PAYMENTS,FL,12.72,627
2009,Jan,10000.0,9,small business upgrade,MN,12.57,507
2009,Jan,5000.0,6,Guy's,WI,14.71,458
2009,Jan,1000.0,1,moving out,OH,94.15,557
2009,Jan,12000.0,1,stating a business ,WI,615.6,573
