IssuedYear,IssuedMonth,LoanAmt,Term,IntRate,Grade,SubGrade,EmpTitle,EmpLength,HomeStatus,AnnualInc,VerificationStatus,LoanStatus,Purpose,State,DTI,NoOfInqs,AppType,CreditHistory,FICO,DefaultStatus
2011,Dec,5000.0,36,10.65,B,B2,Unknown,10,RENT,24000.0,Verified,Fully Paid,credit_card,AZ,27.65,1,INDIVIDUAL,26,737,Good-Loan
2011,Dec,2500.0,60,15.27,C,C4,Ryder,1,RENT,30000.0,Verified,Charged Off,car,GA,1.0,5,INDIVIDUAL,12,742,Defaulted-Loan
2011,Dec,2400.0,36,15.96,C,C5,Unknown,10,RENT,12252.0,Not Verified,Fully Paid,small_business,IL,8.72,2,INDIVIDUAL,10,737,Good-Loan
2011,Dec,10000.0,36,13.49,C,C1,AIR RESOURCES BOARD,10,RENT,49200.0,Verified,Fully Paid,other,CA,20.0,1,INDIVIDUAL,15,692,Good-Loan
2011,Dec,3000.0,60,12.69,B,B5,University Medical Group,1,RENT,80000.0,Verified,Fully Paid,other,OR,17.94,0,INDIVIDUAL,15,697,Good-Loan
2011,Dec,5000.0,36,7.9,A,A4,Veolia Transportaton,3,RENT,36000.0,Verified,Fully Paid,wedding,AZ,11.2,3,INDIVIDUAL,7,732,Good-Loan
2011,Dec,7000.0,60,15.96,C,C5,Southern Star Photography,8,RENT,47004.0,Not Verified,Fully Paid,debt_consolidation,NC,23.51,1,INDIVIDUAL,6,692,Good-Loan
2011,Dec,3000.0,36,18.64,E,E1,MKC Accounting ,9,RENT,48000.0,Verified,Fully Paid,car,CA,5.35,2,INDIVIDUAL,4,662,Good-Loan
2011,Dec,5600.0,60,21.28,F,F2,Unknown,4,OWN,40000.0,Verified,Charged Off,small_business,CA,5.55,2,INDIVIDUAL,7,677,Defaulted-Loan
2011,Dec,5375.0,60,12.69,B,B5,Starbucks,1,RENT,15000.0,Verified,Charged Off,other,TX,18.08,0,INDIVIDUAL,7,727,Defaulted-Loan
2011,Dec,6500.0,60,14.65,C,C3,Southwest Rural metro,5,OWN,72000.0,Not Verified,Fully Paid,debt_consolidation,AZ,16.12,2,INDIVIDUAL,13,697,Good-Loan
2011,Dec,12000.0,36,12.69,B,B5,UCLA,10,OWN,75000.0,Verified,Fully Paid,debt_consolidation,CA,10.78,0,INDIVIDUAL,22,677,Good-Loan
2011,Dec,9000.0,36,13.49,C,C1,Va. Dept of Conservation/Recreation,1,RENT,30000.0,Verified,Charged Off,debt_consolidation,VA,10.08,1,INDIVIDUAL,7,712,Defaulted-Loan
2011,Dec,3000.0,36,9.91,B,B1,Target,3,RENT,15000.0,Verified,Fully Paid,credit_card,IL,12.56,2,INDIVIDUAL,8,707,Good-Loan
2011,Dec,10000.0,36,10.65,B,B2,SFMTA,3,RENT,100000.0,Verified,Charged Off,other,CA,7.06,2,INDIVIDUAL,20,722,Defaulted-Loan
2011,Dec,1000.0,36,16.29,D,D1,Internal revenue Service,1,RENT,28000.0,Not Verified,Fully Paid,debt_consolidation,MO,20.31,1,INDIVIDUAL,4,667,Good-Loan
2011,Dec,10000.0,36,15.27,C,C4,Chin's Restaurant,4,RENT,42000.0,Not Verified,Fully Paid,home_improvement,CA,18.6,2,INDIVIDUAL,13,672,Good-Loan
2011,Dec,3600.0,36,6.03,A,A1,Duracell,10,MORTGAGE,110000.0,Not Verified,Fully Paid,major_purchase,CT,10.52,0,INDIVIDUAL,18,762,Good-Loan
2011,Dec,6000.0,36,11.71,B,B3,Connection Inspection,1,MORTGAGE,84000.0,Verified,Fully Paid,medical,UT,18.44,0,INDIVIDUAL,8,687,Good-Loan
2011,Dec,9200.0,36,6.03,A,A1,Network Interpreting Service,6,RENT,77385.19,Not Verified,Fully Paid,debt_consolidation,CA,9.86,0,INDIVIDUAL,10,757,Good-Loan
2011,Dec,20250.0,60,15.27,C,C4,Archdiocese of Galveston Houston,3,RENT,43370.0,Verified,Fully Paid,debt_consolidation,TX,26.53,3,INDIVIDUAL,14,727,Good-Loan
2011,Dec,21000.0,36,12.42,B,B4,Osram Sylvania,10,RENT,105000.0,Verified,Charged Off,debt_consolidation,FL,13.22,0,INDIVIDUAL,28,707,Defaulted-Loan
2011,Dec,10000.0,36,11.71,B,B3,Value Air,10,OWN,50000.0,Verified,Fully Paid,credit_card,TX,11.18,0,INDIVIDUAL,26,692,Good-Loan
2011,Dec,10000.0,36,11.71,B,B3,Wells Fargo Bank,5,RENT,50000.0,Not Verified,Fully Paid,debt_consolidation,CA,16.01,0,INDIVIDUAL,8,712,Good-Loan
2011,Dec,6000.0,36,11.71,B,B3,bmg-educational,1,RENT,76000.0,Not Verified,Charged Off,major_purchase,CA,2.4,1,INDIVIDUAL,10,692,Defaulted-Loan
2011,Dec,15000.0,36,9.91,B,B1,Winfield Pathology Consultants,2,MORTGAGE,92000.0,Verified,Fully Paid,credit_card,IL,29.44,0,INDIVIDUAL,9,732,Good-Loan
2011,Dec,15000.0,36,14.27,C,C2,nyc transit,9,RENT,60000.0,Not Verified,Charged Off,debt_consolidation,NY,15.22,1,INDIVIDUAL,8,697,Defaulted-Loan
2011,Dec,5000.0,60,16.77,D,D2,Frito Lay,2,RENT,50004.0,Not Verified,Charged Off,other,PA,13.97,0,INDIVIDUAL,8,677,Defaulted-Loan
2011,Dec,4000.0,36,11.71,B,B3,Shands Hospital at the University of Fl,10,MORTGAGE,106000.0,Not Verified,Fully Paid,debt_consolidation,FL,5.63,0,INDIVIDUAL,27,682,Good-Loan
2011,Dec,8500.0,36,11.71,B,B3,Oakridge homes,1,RENT,25000.0,Verified,Fully Paid,credit_card,MN,12.19,0,INDIVIDUAL,5,697,Good-Loan
2011,Dec,4375.0,36,7.51,A,A3,Unknown,7,MORTGAGE,17108.0,Verified,Fully Paid,debt_consolidation,NY,20.34,0,INDIVIDUAL,24,737,Good-Loan
2011,Dec,31825.0,36,7.9,A,A4,Audubon Mutual Housing Corporation,5,MORTGAGE,75000.0,Verified,Fully Paid,debt_consolidation,NJ,14.03,0,INDIVIDUAL,30,762,Good-Loan
2011,Dec,10000.0,60,15.96,C,C5,US Legal Support,2,RENT,29120.0,Verified,Fully Paid,debt_consolidation,FL,22.83,1,INDIVIDUAL,14,692,Good-Loan
2011,Dec,5000.0,36,8.9,A,A5,Good Samaritan Society,2,RENT,24044.0,Verified,Fully Paid,debt_consolidation,OR,11.93,0,INDIVIDUAL,6,702,Good-Loan
2011,Dec,7000.0,36,15.96,C,C5,GREG BARRETT DRYWALL,7,RENT,34000.0,Verified,Fully Paid,credit_card,CA,6.35,1,INDIVIDUAL,4,677,Good-Loan
2011,Dec,12400.0,36,10.65,B,B2,Sharp Lawn Inc.,10,RENT,41000.0,Not Verified,Fully Paid,credit_card,KY,11.8,2,INDIVIDUAL,6,722,Good-Loan
2011,Dec,10800.0,36,9.91,B,B1,Department of Justice,2,RENT,55596.0,Verified,Fully Paid,moving,CA,5.5,0,INDIVIDUAL,11,707,Good-Loan
2011,Dec,15000.0,36,7.9,A,A4,Gateway Hospice,1,RENT,45000.0,Verified,Fully Paid,debt_consolidation,OH,8.48,0,INDIVIDUAL,7,732,Good-Loan
2011,Dec,6000.0,36,12.42,B,B4,Cox Communications,1,RENT,36852.0,Verified,Fully Paid,debt_consolidation,AZ,10.62,1,INDIVIDUAL,4,697,Good-Loan
2011,Dec,12500.0,60,12.69,B,B5,United States Infrastructure Corporation,1,RENT,27000.0,Verified,Fully Paid,debt_consolidation,IL,16.04,3,INDIVIDUAL,10,737,Good-Loan
2011,Dec,9600.0,36,7.51,A,A3,Nucor Building Systems,4,RENT,68004.0,Verified,Fully Paid,other,SC,6.63,0,INDIVIDUAL,8,762,Good-Loan
2011,Dec,12000.0,36,7.9,A,A4,John Wiley Jr.,10,RENT,62300.0,Not Verified,Fully Paid,debt_consolidation,NJ,16.7,0,INDIVIDUAL,17,727,Good-Loan
2011,Dec,3000.0,36,18.25,D,D5,Unknown,9,MORTGAGE,65000.0,Not Verified,Fully Paid,other,PA,17.39,0,INDIVIDUAL,13,672,Good-Loan
